Year,Month,TempDiff
1873,4,-0.303
1873,5,-0.336
1873,6,-0.407
1873,7,-0.207
1873,8,-0.241
1873,9,-0.342
1873,10,-0.396
1873,11,-0.367
1873,12,-0.403
1874,1,-0.207
1874,2,-0.48
1874,3,-0.394
1874,4,-0.441
1874,5,-0.402
1874,6,-0.557
1874,7,-0.218
1874,8,-0.423
1874,9,-0.318
1874,10,-0.516
1874,11,-0.419
1874,12,-0.448
1875,1,-0.285
1875,2,-0.194
1875,3,-0.322
1875,4,-0.292
1875,5,-0.17
1875,6,-0.306
1875,7,-0.359
1875,8,-0.166
1875,9,-0.122
1875,10,-0.201
1875,11,-0.233
1875,12,-0.401
1876,1,-0.365
1876,2,-0.314
1876,3,-0.312
1876,4,-0.318
1876,5,-0.451
1876,6,-0.426
1876,7,-0.261
1876,8,-0.32
1876,9,-0.515
1876,10,-0.354
1876,11,-0.337
1876,12,-0.321
1877,1,-0.358
1877,2,0.114
1877,3,-0.118
1877,4,-0.118
1877,5,-0.328
1877,6,-0.133
1877,7,-0.072
1877,8,0.077
1877,9,0.078
1877,10,0.221
1877,11,0.073
1877,12,0.112
1878,1,0.304
1878,2,0.286
1878,3,0.159
1878,4,0.291
1878,5,0.031
1878,6,-0.014
1878,7,-0.073
1878,8,-0.064
1878,9,-0.069
1878,10,-0.213
1878,11,-0.266
1878,12,-0.204
1879,1,-0.156
1879,2,-0.115
1879,3,-0.075
1879,4,-0.162
1879,5,-0.208
1879,6,-0.252
1879,7,-0.265
1879,8,-0.146
1879,9,-0.203
1879,10,-0.205
1879,11,-0.22
1879,12,-0.297
1880,1,-0.218
1880,2,-0.13
1880,3,0.027
1880,4,-0.095
1880,5,-0.314
1880,6,-0.36
1880,7,-0.237
1880,8,-0.137
1880,9,-0.24
1880,10,-0.221
1880,11,-0.177
1880,12,-0.175
1881,1,-0.074
1881,2,-0.095
1881,3,-0.014
1881,4,-0.039
1881,5,-0.047
1881,6,-0.153
1881,7,-0.188
1881,8,-0.188
1881,9,-0.295
1881,10,-0.224
1881,11,-0.263
1881,12,-0.19
1882,1,-0.111
1882,2,-0.106
1882,3,-0.12
1882,4,-0.166
1882,5,-0.276
1882,6,-0.256
