1.00	0.47	0.43	0.38	0.28	0.37	0.29	0.28	0.27	0.16	0.15	0.21	0.28
0.47	1.00	0.53	0.31	0.27	0.34	0.23	0.25	0.28	0.25	0.16	0.15	0.26
0.43	0.53	1.00	0.39	0.32	0.42	0.38	0.38	0.41	0.24	0.16	0.09	0.25
0.38	0.31	0.39	1.00	0.20	0.33	0.38	0.44	0.29	0.24	0.13	0.08	0.33
0.28	0.27	0.32	0.20	1.00	0.43	0.19	0.25	0.15	0.39	0.52	0.27	0.34
0.37	0.34	0.42	0.33	0.43	1.00	0.37	0.39	0.29	0.37	0.29	0.21	0.35
0.29	0.23	0.38	0.38	0.19	0.37	1.00	0.48	0.49	0.16	0.10	0.14	0.26
0.28	0.25	0.38	0.44	0.25	0.39	0.48	1.00	0.32	0.23	0.16	0.18	0.30
0.27	0.28	0.41	0.29	0.15	0.29	0.49	0.32	1.00	0.16	0.11	0.10	0.19
0.16	0.25	0.24	0.24	0.39	0.37	0.16	0.23	0.16	1.00	0.40	0.18	0.38
0.15	0.16	0.16	0.13	0.52	0.29	0.10	0.16	0.11	0.40	1.00	0.27	0.29
0.21	0.15	0.09	0.08	0.27	0.21	0.14	0.18	0.10	0.18	0.27	1.00	0.25
0.28	0.26	0.25	0.33	0.34	0.35	0.26	0.30	0.19	0.38	0.29	0.25	1.00
