Judge	Stevens	Breyer	Ginsberg	Souter	OConnor	Kennedy	Rehnquist	Scalia	Thomas
Stevens	0.00	0.38	0.34	0.37	0.67	0.64	0.75	0.86	0.85
Breyer	0.38	0.00	0.28	0.29	0.45	0.53	0.57	0.75	0.76
Ginsberg	0.34	0.28	0.00	0.22	0.53	0.51	0.57	0.72	0.74
Souter	0.37	0.29	0.22	0.00	0.45	0.50	0.56	0.69	0.71
OConnor	0.67	0.45	0.53	0.45	0.00	0.33	0.29	0.46	0.46
Kennedy	0.64	0.53	0.51	0.50	0.33	0.00	0.23	0.42	0.41
Rehnquist	0.75	0.57	0.57	0.56	0.29	0.23	0.00	0.34	0.32
Scalia	0.86	0.75	0.72	0.69	0.46	0.42	0.34	0.00	0.21
Thomas	0.85	0.76	0.74	0.71	0.46	0.41	0.32	0.21	0.00
